DUP_ID,UC1_COI,UC2_COI,UC3_COI,UC4_COI,UC5_COI,UC6_COI,UC7_COI,UC9_COI,UC10_COI,UC12_COI,UC13_COI,UC14_COI,UC15_COI,GOC2a_COI,GOC2b_COI,CP23_COI,UC3_2_COI,CP23_2_COI,UC3_1_COI,CP23_1_COI,NTC_2_COI
OTU_80,97,10,97,19,7133,7,1660,3,319,0,0,0,2,0,0,0,9,0,16,0,0
OTU_81,0,0,0,0,0,0,0,0,73,0,388,1657,1,3473,206,576,0,8,0,635,0
OTU_82,0,0,0,1,0,6881,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_83,0,0,0,0,0,18,0,0,624,584,727,791,511,803,7,1346,0,169,0,1362,0
OTU_86,0,0,0,0,0,0,0,0,0,0,0,0,6288,0,0,0,0,0,0,0,0
OTU_89,0,0,0,0,0,0,0,0,0,0,0,6367,0,0,0,0,0,0,0,0,0
OTU_90,0,0,0,2,0,0,0,0,0,1317,45,4707,689,0,6,0,0,0,0,0,0
OTU_94,156,28,1472,166,1693,220,2466,35,83,0,3,31,1,0,3,0,272,0,558,0,1
OTU_95,2278,1994,0,1284,111,42,221,0,0,1,0,1,0,0,0,0,185,0,0,0,0
OTU_96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2930,0,0,1,2716,1
OTU_100,63,14,73,8,4603,2,1306,2,271,0,0,0,1,0,1,0,11,0,6,0,1
OTU_101,0,0,0,0,0,0,0,9053,1021,0,0,57,0,0,0,6,0,610,0,0,0
OTU_102,0,0,0,398,1,92,0,0,1452,1098,842,1015,410,245,27,692,0,22,0,683,0
OTU_106,0,0,0,0,0,0,0,0,392,0,0,5478,1146,0,0,925,0,174,0,838,0
OTU_109,0,0,0,0,0,0,0,1,0,0,140,10,213,786,2161,2269,0,1025,0,1934,0
OTU_110,0,2,1,12,44,39,228,19,49,79,41,2024,128,127,6,1609,0,184,0,1759,0
OTU_116,0,0,0,0,1717,27,367,38,3187,286,2070,731,2,0,0,0,1,0,0,0,0
OTU_117,59,12,124,52,8630,8,2580,1,526,1,0,0,6,0,1,0,1,0,46,0,0
OTU_118,0,50,423,1,0,39,4,782,1661,718,1504,3009,609,84,24,215,23,51,155,292,0
OTU_119,1,0,0,0,12,13,548,0,3248,767,2370,1,0,0,0,0,0,0,0,0,0
OTU_120,51,14,52,5,4034,3,860,4,243,0,0,0,2,0,0,0,5,0,6,0,0
OTU_122,0,2,7,6,10,157,7,25,1154,2309,597,2479,1759,488,657,211,0,86,2,210,0
OTU_124,81,98,2206,3,804,18,310,296,11,20,6,5,6,0,0,0,182,0,891,0,0
OTU_125,634,761,1757,4,406,4,138,33,0,0,0,0,0,0,0,0,576,0,757,0,0
OTU_126,303,603,431,514,63,920,752,376,16,37,0,3,22,0,0,0,1415,1,170,0,0
OTU_127,0,932,0,0,0,0,0,4703,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_129,0,0,3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,0,0
OTU_130,1809,1270,802,154,211,106,94,0,234,14,111,23,26,1,1,8,357,3,314,1,0
OTU_136,0,0,0,0,0,0,0,0,0,18,0,2506,0,2599,129,223,0,5,0,157,0
OTU_137,3197,985,23,78,35,0,0,5,8,7,0,33,47,0,0,851,51,288,34,872,0
OTU_138,0,0,0,0,1,0,0,0,0,0,0,0,3930,6,0,0,0,0,0,0,0
OTU_140,0,643,3547,283,952,727,306,9,16,16,239,181,560,0,0,167,999,74,1189,160,0
OTU_141,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3566,0,0,0,0,0,0
OTU_142,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5606,22,0,0,0,20,0
OTU_145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4183,0,0,0,0,0,0
OTU_147,331,4413,3,971,2321,1279,1305,0,0,0,429,0,0,0,0,0,10,0,0,0,0
OTU_148,3002,544,682,122,0,1,7,0,2,0,0,0,0,0,0,0,909,0,385,0,0
OTU_149,0,0,0,0,57,3,4,157,2027,8,384,2082,36,41,1,0,3,0,0,0,0
OTU_152,0,0,12,0,9,39,3,2,380,714,472,1088,517,241,156,81,0,30,0,53,0
OTU_154,0,0,0,0,0,0,0,0,6,293,1,3484,86,41,340,262,0,11,0,198,0
OTU_155,0,0,0,0,0,0,0,0,0,0,0,3978,0,0,0,0,0,0,0,0,0
OTU_157,155,788,14,7,2531,412,50,0,0,282,0,0,143,1,0,0,5,0,0,0,0
OTU_159,0,0,3419,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1308,0,0
OTU_160,0,0,0,0,0,0,0,0,5631,0,0,0,0,0,0,0,0,0,0,0,0
OTU_161,0,0,0,0,0,0,0,0,1876,99,36,1649,52,0,0,44,0,215,0,56,0
OTU_162,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3975,0,0,0,0,0,0
OTU_163,8999,23,637,1,640,0,309,0,50,0,0,0,3,0,0,1,118,0,256,8,0
OTU_165,19,148,1050,1609,2580,2462,275,1575,107,5,9,124,1,1,0,0,59,7,267,1,0
OTU_166,12,164,40,728,2852,2,1228,450,228,0,0,0,0,0,0,1,0,0,0,0,0
OTU_167,0,0,2723,0,0,0,0,0,0,0,1,0,0,0,0,0,79,0,764,0,0
OTU_168,1,2,0,13,14,45,14,44,215,293,639,3016,230,4,2,3,0,2,0,0,0
OTU_169,0,0,0,0,0,0,0,0,0,0,4017,0,0,0,0,0,0,0,0,0,0
OTU_170,0,5,150,0,2,14,7,473,855,528,735,1556,290,4,10,132,0,15,53,146,0
OTU_174,54,13,36,7,3242,2,1322,0,189,0,0,0,0,0,1,0,11,0,7,0,0
OTU_176,0,0,0,0,0,0,0,0,181,479,172,1175,384,122,85,876,0,82,0,986,0
OTU_177,728,106,33,1685,6,46,117,0,1,0,0,1,0,0,0,0,388,0,23,0,0
OTU_179,0,0,0,0,0,1,1,0,1,11,4,4215,238,7481,2678,235,0,94,0,375,0
OTU_180,0,115,63,3,29,55,27,0,12,103,242,256,1042,736,434,41,1,87,6,81,0
OTU_181,314,289,2939,0,1037,16,442,318,19,4,28,0,5,0,0,0,129,0,1064,0,0
OTU_183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345,0,2105,0,1582,0
OTU_184,0,0,0,0,0,6151,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0
OTU_186,0,1,0,0,0,0,0,0,0,3148,0,0,0,0,0,0,0,0,0,0,0
OTU_187,0,5,0,0,0,0,2955,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU_188,0,0,0,0,0,0,0,0,0,0,8,0,0,3071,0,0,0,0,0,0,0
OTU_189,0,0,0,0,0,0,0,0,0,0,0,3236,0,0,7,154,0,25,0,229,0
OTU_192,64,2,1577,31,1069,494,317,2,48,0,1,0,1,0,0,1,100,0,745,0,0
OTU_195,70,11,44,6,3389,7,850,0,141,0,0,0,1,0,0,0,17,0,0,0,0
OTU_196,1,0,115,2,0,0,35,0,105,0,366,480,457,276,84,1796,4,76,55,2124,0
OTU_199,0,1,0,0,0,0,0,0,0,2845,0,0,0,0,0,0,0,0,0,0,0
OTU_200,0,1,0,2,82,24,371,160,4223,400,2890,1713,26,0,1,0,0,0,0,0,0
OTU_201,0,0,0,2841,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_202,0,0,231,0,0,0,0,0,0,2,0,1,0,0,0,229,0,2737,69,197,1
OTU_203,33,135,599,1,383,99,198,88,189,192,646,7,23,0,0,0,183,0,162,0,0
OTU_204,243,68,1254,0,543,5,132,183,1,33,1,0,2,0,0,0,24,0,487,0,0
OTU_205,0,0,0,5468,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
OTU_207,25,435,980,3,440,205,368,80,389,244,519,129,49,0,0,0,175,0,383,0,0
OTU_209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1297,0,0,0,1509,0
OTU_210,9,0,0,469,234,246,759,1,0,40,0,2,29,0,1,1163,148,986,0,1035,0
OTU_211,0,0,0,1,0,0,0,0,3,4,140,1028,229,404,522,136,0,92,0,158,0
OTU_213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1177,0,1267,0,1199,0
OTU_216,115,30,37,1605,1,923,2,0,0,0,0,2,0,0,0,0,4,0,22,0,0
OTU_217,2943,8,249,1,256,0,108,0,18,0,0,0,1,0,0,0,34,0,83,4,0
OTU_225,516,45,13,0,34,5,30,1423,2142,108,233,20,158,4,0,41,5,8,9,36,0
OTU_226,0,0,0,0,0,0,0,0,0,0,0,2071,0,0,529,41,0,0,0,69,0
OTU_228,0,0,0,0,0,15,0,61,313,1345,514,1609,1901,311,240,203,0,8,0,174,0
OTU_230,0,0,0,0,0,0,0,0,75,4,1549,96,718,0,0,0,0,1,0,0,0
OTU_231,0,0,0,0,0,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_232,0,0,0,0,0,0,0,0,0,0,0,2575,0,0,0,0,0,0,0,0,0
OTU_233,0,0,0,1,0,0,0,0,0,9,0,2566,0,0,0,6,0,0,0,1,0
OTU_237,0,0,0,0,0,0,0,0,0,0,2485,0,0,0,0,0,0,0,0,0,0
OTU_238,0,0,0,0,0,0,0,0,0,0,0,22,32,559,286,1298,0,7,0,1068,0
OTU_239,0,10,413,0,0,0,2,167,601,45,0,732,361,13,78,34,2,93,178,27,0
OTU_240,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2410,0,0,0,0,0,0
OTU_245,0,0,0,0,0,0,0,0,0,0,0,2759,0,0,0,0,0,0,0,0,0
OTU_247,214,0,1,1,973,2,900,0,294,0,0,0,1,0,0,0,0,0,0,0,1
OTU_248,0,0,0,1,0,0,0,0,149,126,133,131,285,44,84,1721,0,1186,0,1538,0
OTU_252,0,0,0,0,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_255,0,0,0,0,0,0,0,0,0,0,1967,0,0,2,0,0,0,0,0,0,0
