#OTU_ID	taxonomy
OTU_47409	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_55459	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_66199	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_82583	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_99438	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_141365	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_147557	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_147612	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_158252	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_159086	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_271859	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_281467	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_281529	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_281610	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_300948	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_317584	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_319838	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_319932	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_319942	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_319944	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_319951	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_319988	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_319989	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320008	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320037	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320038	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320072	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320074	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320081	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320285	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320318	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320334	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320351	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320358	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_320361	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_369233	k__Eukaryota, p__unknown, c__Dinophyceae, o__Gonyaulacales, f__Crypthecodiniaceae, g__Crypthecodinium, s__Crypthecodinium cohnii
OTU_208020	k__Eukaryota, p__Phaeophyceae, c__unknown, o__Ectocarpales, f__Ectocarpaceae, g__Ectocarpus, s__Ectocarpus siliculosus
OTU_7458	k__Eukaryota, p__unknown, c__unknown, o__Isochrysidales, f__Noelaerhabdaceae, g__Emiliania, s__Emiliania huxleyi
OTU_449	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_24879	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_29390	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_40323	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_63869	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_78915	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_147568	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_147611	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_147613	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_261188	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_281468	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_281482	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_281508	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_281516	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_281581	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_281582	k__Eukaryota, p__unknown, c__Dinophyceae, o__Peridiniales,f__,g__,s__
OTU_29391	k__Eukaryota, p__unknown, c__Dinophyceae, o__Gonyaulacales, f__Gonyaulacaceae, g__Alexandrium,s__
OTU_102578	k__Eukaryota, p__unknown, c__Dinophyceae, o__Gonyaulacales, f__Gonyaulacaceae, g__Alexandrium,s__
OTU_159028	k__Eukaryota, p__unknown, c__Dinophyceae, o__Gonyaulacales, f__Gonyaulacaceae, g__Alexandrium,s__
OTU_351920	k__Eukaryota, p__unknown, c__Dinophyceae, o__Gonyaulacales, f__Gonyaulacaceae, g__Alexandrium,s__
OTU_12098	k__Eukaryota, p__unknown, c__Dinophyceae, o__Prorocentrales, f__Prorocentraceae, g__Prorocentrum,s__
OTU_35817	k__Eukaryota, p__unknown, c__Dinophyceae, o__Prorocentrales, f__Prorocentraceae, g__Prorocentrum,s__
OTU_78918	k__Eukaryota, p__unknown, c__Dinophyceae, o__Prorocentrales, f__Prorocentraceae, g__Prorocentrum,s__
OTU_63872	k__Eukaryota, p__unknown, c__Dinophyceae, o__Prorocentrales, f__Prorocentraceae, g__Prorocentrum, s__Prorocentrum micans
OTU_16204	k__Eukaryota, p__unknown, c__Dinophyceae, o__Suessiales, f__Symbiodiniaceae, g__Symbiodinium,s__
OTU_159021	k__Eukaryota, p__unknown, c__Dinophyceae, o__Suessiales, f__Symbiodiniaceae, g__Symbiodinium,s__
OTU_281490	k__Eukaryota, p__unknown, c__Dinophyceae, o__Suessiales, f__Symbiodiniaceae, g__Symbiodinium,s__
OTU_319867	k__Eukaryota, p__unknown, c__Dinophyceae, o__Suessiales, f__Symbiodiniaceae, g__Symbiodinium, s__Symbiodinium microadriaticum
OTU_63867	k__Eukaryota, p__unknown, c__Dinophyceae, o__Suessiales, f__Suessiaceae, g__Protodinium, s__Protodinium simplex
OTU_281488	k__Eukaryota, p__unknown, c__Dinophyceae, o__Lophodiniales, f__Lophodiniaceae, g__Woloszynskia,s__
OTU_63898	k__Eukaryota, p__unknown, c__Dinophyceae, o__Pyrocystales, f__Pyrocystaceae, g__Pyrocystis, s__Pyrocystis lunula
OTU_143645	k__Eukaryota, p__Bacillariophyta, c__Coscinodiscophyceae, o__Rhizosoleniales, f__Rhizosoleniaceae, g__Rhizosolenia, s__Rhizosolenia setigera
OTU_1367	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_2161	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_4094	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_172946	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_1904	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_4597	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_10204	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_11132	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_263467	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_263543	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_263546	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_268324	k__Eukaryota, p__Chlorophyta,c__,o__,f__,g__,s__
OTU_209487	k__Eukaryota, p__unknown, c__Oomycetes,o__,f__,g__,s__
OTU_308062	k__Eukaryota, p__unknown, c__Oomycetes,o__,f__,g__,s__
OTU_103760	k__Eukaryota, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae,g__,s__
OTU_82322	k__Eukaryota, p__unknown, c__Oomycetes, o__Peronosporales, f__Peronosporaceae, g__Phytophthora,s__
OTU_114793	k__Eukaryota, p__unknown, c__Oomycetes, o__Pythiales, f__Pythiaceae, g__Pythium,s__
OTU_229287	k__Eukaryota, p__unknown, c__Oomycetes, o__Pythiales, f__Pythiaceae, g__Pythium,s__
OTU_26445	k__Eukaryota, p__Basidiomycota, c__Microbotryomycetes, o__Sporidiobolales, f__Sporidiobolaceae, g__Rhodotorula, s__Rhodotorula mucilaginosa
OTU_185662	k__Eukaryota, p__Basidiomycota, c__Microbotryomycetes, o__Sporidiobolales, f__Sporidiobolaceae, g__Rhodotorula, s__Rhodotorula mucilaginosa
OTU_221559	k__Eukaryota, p__Apicomplexa,c__,o__,f__,g__,s__
OTU_137	k__Eukaryota,p__,c__,o__,f__,g__,s__
