V1;V3,V4,V5,V6,V7,V8,V9
OTU_47386;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_47409;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_55459;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_66199;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_82583;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_99438;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_141365;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_147557;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_147612;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_158252;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_159086;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_271859;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_281467;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_281529;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_281610;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_300948;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_317584;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_319838;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_319932;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_319942;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_319944;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_319951;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_319988;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_319989;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320008;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320037;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320038;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320072;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320074;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320081;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320285;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320318;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320334;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320351;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320358;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_320361;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_369233;['Eukaryota', 'unknown', 'Dinophyceae', 'Gonyaulacales', 'Crypthecodiniaceae', 'Crypthecodinium', 'Crypthecodinium cohnii']
OTU_208020;['Eukaryota', 'Phaeophyceae', 'unknown', 'Ectocarpales', 'Ectocarpaceae', 'Ectocarpus', 'Ectocarpus siliculosus']
OTU_7458;['Eukaryota', 'unknown', 'unknown', 'Isochrysidales', 'Noelaerhabdaceae', 'Emiliania', 'Emiliania huxleyi']
OTU_449;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_24879;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_29390;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_40323;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_63869;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_78915;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
OTU_147568;['Eukaryota', 'unknown', 'Dinophyceae', 'Peridiniales','f_','g_','s_']
