#DUP_ID	UC1_COI	UC2_COI	UC3_COI	UC4_COI	UC5_COI	UC6_COI	UC7_COI	UC9_COI	UC10_COI	UC12_COI	UC13_COI	UC14_COI	UC15_COI	GOC2a_COI	GOC2b_COI	CP23_COI	UC3_2_COI	CP23_2_COI	UC3_1_COI	CP23_1_COI	NTC_2_COI	taxonomy
OTU_33	103	62	92	183	19	2589	3650	4943	469	2885	81	14607	106	0	0	385	66	156	21	376	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Agalmatidae; g__Agalma; s__Agalma elegans
OTU_34	1141	9172	4668	1729	3864	828	2752	429	349	409	470	240	387	116	52	0	331	0	1630	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus furcatus
OTU_35	4676	8857	7694	2936	1515	14414	1022	4501	34	582	12	0	1423	2	3	41	3318	0	2960	35	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Calanidae; g__Calanus; s__Calanus pacificus
OTU_38	0	0	0	0	0	0	0	0	0	1	13	96	13	0	0	6069	0	2443	0	5588	0	k__Eukaryota; p__Arthropoda; c__Branchiopoda; o__Diplostraca; f__Podonidae; g__Pseudevadne; s__Pseudevadne tergestina
OTU_39	779	5182	1901	39	51	84	351	5	969	33	3051	436	300	885	101	49	902	0	733	60	0	k__Eukaryota; p__unknown; c__Dinophyceae; o__Syndiniales; f__Syndiniaceae; g__Hematodinium;s__
OTU_40	77	3	2267	0	12	2	5210	0	320	2	9	6009	1	137	2	0	707	1	850	0	0	k__Eukaryota; p__unknown; c__Dinophyceae; o__Syndiniales; f__Syndiniaceae; g__Hematodinium;s__
OTU_42	0	0	0	0	0	0	223	1	104	0	0	2	0	446	5	6818	0	1353	0	6120	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Euphausia; s__Euphausia lamelligera
OTU_43	0	0	15	0	0	0	0	0	0	0	0	19	0	0	0	4763	0	1008	7	4506	0	k__Eukaryota; p__Arthropoda; c__Branchiopoda; o__Diplostraca; f__Sididae; g__Penilia; s__Penilia avirostris
OTU_45	153	21	131	15	8918	10	2737	1	402	0	0	0	4	1	1	0	12	0	45	0	1	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nematoscelis; s__Nematoscelis difficilis
OTU_46	0	1	0	1	2	0	0	0	243	2291	3675	5627	10325	14417	11324	2407	0	39	0	2091	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae;g__;s__
OTU_47	0	0	0	0	0	0	1	0	0	0	0	0	0	422	10665	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae;g__;s__
OTU_51	108	91	4748	440	26	0	263	366	3442	35	4	0	102	0	0	19	1855	2	1572	28	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae; g__Rhincalanus; s__Rhincalanus nasutus
OTU_52	0	0	0	0	0	0	0	0	0	0	0	0	10038	0	0	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae; g__Eucalanus; s__Eucalanus subtenuis
OTU_53	123	26	87	16	8327	1	2140	4	408	0	0	0	0	0	1	0	10	0	31	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nematoscelis; s__Nematoscelis difficilis
