DUP_178603;size=2	
DUP_178715;size=2	
DUP_178736;size=2	
DUP_178853;size=2	
DUP_179076;size=2	
DUP_179271;size=2	
DUP_179405;size=2	
DUP_179472;size=2	
DUP_180120;size=2	
DUP_180121;size=2	
DUP_180179;size=2	
DUP_180443;size=2	
DUP_180470;size=2	
DUP_180471;size=2	
DUP_180551;size=2	
DUP_180863;size=2	
DUP_180879;size=2	
DUP_180908;size=2	
DUP_180923;size=2	
DUP_181198;size=2	
DUP_181339;size=2	
DUP_181553;size=2	
DUP_181626;size=2	
DUP_181843;size=2	
DUP_181847;size=2	
DUP_181849;size=2	
DUP_181850;size=2	
DUP_182246;size=2	
DUP_182267;size=2	
DUP_182410;size=2	
DUP_182450;size=4	
DUP_182475;size=6	
DUP_182551;size=2	
DUP_182557;size=2	
DUP_182591;size=2	
DUP_182679;size=2	
DUP_182897;size=2	
DUP_182898;size=2	
DUP_182923;size=2	
DUP_183091;size=2	
DUP_183170;size=2	
DUP_183238;size=2	
DUP_183286;size=2	
DUP_183454;size=2	
DUP_183682;size=2	
DUP_183686;size=2	
DUP_183694;size=2	
DUP_183861;size=2	
DUP_183867;size=2	
DUP_184203;size=2	
DUP_184215;size=2	
DUP_184230;size=2	
DUP_185710;size=2	
DUP_185727;size=2	
DUP_185853;size=2	
DUP_186838;size=2	
DUP_186857;size=2	
DUP_186868;size=2	
DUP_186893;size=2	
DUP_186905;size=2	
DUP_186906;size=2	
DUP_186907;size=2	
DUP_186912;size=2	
DUP_186915;size=2	
DUP_192301;size=2	
DUP_192302;size=2	
DUP_192536;size=2	
DUP_192537;size=2	
DUP_192543;size=2	
DUP_199605;size=2	
DUP_199617;size=2	
DUP_202179;size=2	
DUP_205028;size=2	
DUP_205482;size=6	
DUP_211435;size=2	
DUP_213290;size=2	
DUP_213302;size=2	
DUP_213428;size=2	
DUP_213948;size=2	
DUP_214144;size=2	
DUP_215699;size=2	
DUP_215700;size=2	
DUP_215701;size=2	
DUP_216542;size=2	
DUP_216793;size=2	
DUP_221091;size=2	
DUP_221093;size=2	
DUP_221320;size=2	
DUP_221451;size=2	
DUP_223258;size=2	
DUP_224377;size=2	
DUP_226779;size=2	
DUP_227083;size=2	
DUP_227098;size=2	
DUP_228214;size=2	
DUP_228826;size=2	
DUP_228876;size=2	
DUP_229519;size=2	
DUP_243795;size=2	
DUP_244071;size=2	
DUP_244395;size=2	
DUP_244428;size=2	
DUP_252847;size=2	
DUP_253612;size=2	
DUP_253780;size=2	
