,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC9,UC10,UC12,UC13,UC14,UC15,GOC2a,GOC2b,CP23,UC3_2,CP23_2,UC3_1,CP23_1,NTC_2
OTU_101184,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
OTU_101259,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101267,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_101271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
OTU_101273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_101274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
OTU_101281,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101284,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU_101286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
OTU_101288,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
OTU_101429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_101431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_101432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
OTU_101433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_101434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_101436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
OTU_101439,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
OTU_101440,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101441,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
OTU_101444,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101446,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10145,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10146,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
OTU_101467,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
